x,y,value
C#,2009,1
C#,2010,1
C#,2011,1
C#,2012,2
C#,2013,4
C#,2014,5
C#,2015,5
C#,2016,5
C#,2017,6
C#,2018,6
Java,2009,2
Java,2010,2
Java,2011,2
Java,2012,2
Java,2013,2
Java,2014,2
Java,2015,2
Java,2016,2
Java,2017,2
Java,2018,3
Javascript,2009,6
Javascript,2010,4
Javascript,2011,4
Javascript,2012,3
Javascript,2013,1
Javascript,2014,1
Javascript,2015,1
Javascript,2016,1
Javascript,2017,1
Javascript,2018,1
python,2009,10
python,2010,11
python,2011,12
python,2012,10
python,2013,8
python,2014,8
python,2015,7
python,2016,6
python,2017,3
python,2018,2
html,2009,12
html,2010,13
html,2011,11
html,2012,9
html,2013,7
html,2014,7
html,2015,8
html,2016,7
html,2017,7
html,2018,6
php,2009,4
php,2010,3
php,2011,3
php,2012,4
php,2013,3
php,2014,3
php,2015,3
php,2016,3
php,2017,4
php,2018,5
jquery,2009,8
jquery,2010,5
jquery,2011,6
jquery,2012,6
jquery,2013,6
jquery,2014,6
jquery,2015,6
jquery,2016,8
jquery,2017,7
jquery,2018,8
c++,2009,7
c++,2010,2
c++,2011,7
c++,2012,7
c++,2013,8
c++,2014,10
c++,2015,9
c++,2016,11
c++,2017,11
c++,2018,12
android,2009,24
android,2010,10
android,2011,5
android,2012,5
android,2013,5
android,2014,4
android,2015,4
android,2016,4
android,2017,5
android,2018,4
.net,2009,3
.net,2010,4
.net,2011,5
.net,2012,8
.net,2013,7
.net,2014,8
.net,2015,9
.net,2016,12
.net,2017,17
.net,2018,20